Drug.Name	KE.ID	KE.name	KE.type	interact
Fumagillin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Clotrimazole	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Lindane	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Permethrin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Danazol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
2-Ethylhexyl 4-(dimethylamino)benzoate	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Pyrimethamine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	MIEdirect
Phenobarbital	716	Increase, cell proliferation (hepatocytes)	KeyEvent	KEdirect
Phenobarbital	1214	Altered gene expression specific to CAR activation, Hepatocytes	KeyEvent	KEdirect
Trilostane	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Levothyroxine	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Ketoconazole	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Zenarestat	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Pimozide	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Theophylline	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Decanoic acid	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Lovastatin	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Troglitazone	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Amoxapine	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Betamethasone	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Haloperidol	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Astemizole	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Fluvastatin	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Simvastatin	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Clotrimazole	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Reserpine	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	MIEdirect
Haloperidol	849	Inhibition, Antgonism of NE receptor	MolecularInitiatingEvent	MIEdirect
Ciprofloxacin	1539	Endocytotic lysosomal uptake	MolecularInitiatingEvent	MIEdirect
Norfloxacin	1539	Endocytotic lysosomal uptake	MolecularInitiatingEvent	MIEdirect
Artesunate	1539	Endocytotic lysosomal uptake	MolecularInitiatingEvent	MIEdirect
Betamethasone	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Emodin	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
4-Dimethylaminoantipyrine	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Propylthiouracil	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Leflunomide	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
p-Synephrine	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Menadione	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Clotrimazole	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Hydroxyurea	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Dimethyl sulfoxide	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Anthralin	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Lansoprazole	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Thiabendazole	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Zileuton	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Levothyroxine	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Busulfan	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Methyl glyoxal	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Nisoldipine	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Acetohexamide	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
1-Phenyl-3-methyl-5-pyrazolone	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Niacinamide	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
5,6-Benzoflavone	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Oxytetracycline	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
myo-Inositol	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
3,5,3'-Triiodothyronine	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Kaempferol	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Flavone	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Clove leaf oil	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Ketoconazole	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
l-Tryptophan	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Propyl gallate	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
2-Hydroxy-4-methoxybenzophenone	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Mifepristone	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
d-Tryptophan	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Carboxin	18	Activation, AhR	MolecularInitiatingEvent	MIEdirect
Meclofenamic acid	957	Binding, Transthyretin in serum	MolecularInitiatingEvent	MIEdirect
Letrozole	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Forskolin	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
4-Hexylresorcinol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
4-Hydroxytamoxifen	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Gemfibrozil	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Aminoglutethimide	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
6-Thioguanine	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Fulvestrant	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Tamoxifen	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Malathion	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
meso-Hexestrol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Dimethyl sulfoxide	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
all-trans-Retinoic acid	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Retinol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Clotrimazole	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
9-cis Retinoic acid	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Diethylstilbestrol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
4-Hydroxyandrostenedione	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
4-Androstene-3,17-dione	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Anastrozole	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	MIEdirect
Tacrolimus	979	Interference, nuclear localization of NFAT	KeyEvent	KEdirect
Kaempferol	980	Inhibition, Calcineurin Activity	MolecularInitiatingEvent	MIEdirect
Tacrolimus	981	Reduction, NFAT/AP-1 complex formation	KeyEvent	KEdirect
Tacrolimus	984	Impairment, T-cell dependent antibody response	AdverseOutcome	AOdirect
Tacrolimus	1202	Suppression, IL-2 and IL-4 production	KeyEvent	KEdirect
Propylthiouracil	1009	Inhibition, Deiodinase 1	MolecularInitiatingEvent	MIEdirect
Propylthiouracil	277	Thyroid hormone synthesis, Decreased	KeyEvent	KEdirect
Methimazole	277	Thyroid hormone synthesis, Decreased	KeyEvent	KEdirect
Propylthiouracil	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Methimazole	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Methimazole	281	Thyroxine (T4) in serum, Decreased	KeyEvent	KEdirect
Propylthiouracil	281	Thyroxine (T4) in serum, Decreased	KeyEvent	KEdirect
Progesterone	12	Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	MIEdirect
Anthralin	12	Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	MIEdirect
meso-Hexestrol	12	Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	MIEdirect
Phenobarbital	1020	Increased, induction of UDPGT's in liver	KeyEvent	KEdirect
Indomethacin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Eugenol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
2-Ethylhexyl 4-(dimethylamino)benzoate	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Deflazacort	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Phenylacetic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Triclosan	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Zileuton	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Levothyroxine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
1,8-Cineol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Acetohexamide	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Clotrimazole	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Clove leaf oil	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Mefenamic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
2-Hydroxy-4-methoxybenzophenone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
all-trans-Retinoic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Troglitazone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Kaempferol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Forskolin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Sulfasalazine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Warfarin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Furosemide	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
9-cis Retinoic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Loratadine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Tolcapone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Candesartan cilexetil	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Ciprofibrate	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Zenarestat	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Oxytetracycline	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Oxazepam	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Malathion	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Decanoic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Gemfibrozil	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Bezafibrate	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Spironolactone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
meso-Hexestrol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Glybenclamide	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
1-Phenyl-3-methyl-5-pyrazolone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
5,6-Benzoflavone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Nisoldipine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Linolenic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Tiratricol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Flufenamic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Mifepristone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Aspirin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Ibuprofen	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Betamethasone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Flavone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	MIEdirect
Raloxifene	1045	Decreased, Ovarian E2	KeyEvent	KEdirect
Tamoxifen	1045	Decreased, Ovarian E2	KeyEvent	KEdirect
Fulvestrant	1045	Decreased, Ovarian E2	KeyEvent	KEdirect
Diethylstilbestrol	1064	prepubertal increase, Estrogen receptor (ER) activity	MolecularInitiatingEvent	MIEdirect
Genistein	1064	prepubertal increase, Estrogen receptor (ER) activity	MolecularInitiatingEvent	MIEdirect
Haloperidol	1083	Decreased, Dopaminergic activity	KeyEvent	KEdirect
Reserpine	1083	Decreased, Dopaminergic activity	KeyEvent	KEdirect
Bleomycin	1458	Pulmonary fibrosis	AdverseOutcome	AOdirect
Hydroxyurea	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Kaempferol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Anthralin	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Malathion	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Tolazamide	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Busulfan	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Rifampicin	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Tetracycline	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
17beta-Estradiol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Mifepristone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
4-Hexylresorcinol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Dapsone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Aminoglutethimide	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Oxytetracycline	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Tiratricol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Isoniazid	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Clove leaf oil	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Propyl gallate	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Hydroquinone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
meso-Hexestrol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Eugenol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
L-Ascorbic acid	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
3,5,3'-Triiodothyronine	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
Folic acid	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	MIEdirect
