Drug.Name	KE.ID	KE.name	KE.type	interaction
Miconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	directMIE
Voriconazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	directMIE
Clotrimazole	1386	CYP7B activity, inhibition	MolecularInitiatingEvent	directMIE
Acetaminophen	1391	Activation of Cyp2E1	MolecularInitiatingEvent	directMIE
Acetaminophen	1392	Oxidative Stress 	KeyEvent	directKE
Acetaminophen	1393	Hepatocytotoxicity	KeyEvent	directKE
Acetaminophen	1394	Induction, persistent proliferation/sustained proliferation	KeyEvent	directKE
Amiodarone	1542	Increase, Mitochondrial complex III antagonism	MolecularInitiatingEvent	directMIE
Benzbromarone	1542	Increase, Mitochondrial complex III antagonism	MolecularInitiatingEvent	directMIE
Benzbromarone	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	directMIE
Entacapone	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	directMIE
Amiodarone	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	directMIE
Metformin	1543	Mitochondrial Complex IV inhibition	MolecularInitiatingEvent	directMIE
Amiodarone	1544	Mitochondrial Complex V inhibition	MolecularInitiatingEvent	directMIE
Metformin	1544	Mitochondrial Complex V inhibition	MolecularInitiatingEvent	directMIE
Dexamethasone	1569	Impaired T cell activation	KeyEvent	directKE
Minocycline	1569	Impaired T cell activation	KeyEvent	directKE
Dexamethasone	1571	Decreased IL-1 production	KeyEvent	directKE
Minocycline	1571	Decreased IL-1 production	KeyEvent	directKE
Dexamethasone	1572	Impaired IL-1 signaling	KeyEvent	directKE
Minocycline	1572	Impaired IL-1 signaling	KeyEvent	directKE
Sulindac	1574	Inhibition, IKK complex	MolecularInitiatingEvent	directMIE
Ibuprofen	1574	Inhibition, IKK complex	MolecularInitiatingEvent	directMIE
Aspirin	1574	Inhibition, IKK complex	MolecularInitiatingEvent	directMIE
Paclitaxel	1580	Binding of microtubule stabilizing agents (MSA) to microtubules	MolecularInitiatingEvent	directMIE
Epothilone B	1580	Binding of microtubule stabilizing agents (MSA) to microtubules	MolecularInitiatingEvent	directMIE
Dexamethasone	1644	Impaired Ab production	KeyEvent	directKE
Minocycline	1644	Impaired Ab production	KeyEvent	directKE
Ketoconazole	1688	decrease, male anogenital distance	AdverseOutcome	directAO
Dexamethasone	1688	decrease, male anogenital distance	AdverseOutcome	directAO
beta-Sitosterol	1756	Decreased, 11-ketotestosterone	KeyEvent	directKE
Carbamazepine	1756	Decreased, 11-ketotestosterone	KeyEvent	directKE
Flutamide	1758	Impaired, Spermatogenesis	KeyEvent	directKE
Picrotoxin	667	Binding at picrotoxin site, iGABAR chloride channel	MolecularInitiatingEvent	directMIE
Lindane	667	Binding at picrotoxin site, iGABAR chloride channel	MolecularInitiatingEvent	directMIE
Tetracycline	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Eugenol	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Anthralin	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Clofibrate	79	Inhibition, Cyclooxygenase activity	MolecularInitiatingEvent	directMIE
Tolazamide	697	impaired, ion channels	MolecularInitiatingEvent	directMIE
Colchicine	718	Binding, Tubulin	MolecularInitiatingEvent	directMIE
Colchicine	720	Disruption, Microtubule dynamics	KeyEvent	directKE
Colchicine	721	Disorganization, Spindle	KeyEvent	directKE
Colchicine	723	Altered, Chromosome number	KeyEvent	directKE
Colchicine	728	Increase, Aneuploid offspring	AdverseOutcome	directAO
Diethylstilbestrol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Benzoin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Etoposide	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Febuxostat	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Pimozide	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
2-Hydroxy-4-methoxybenzophenone	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Cytarabine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
meso-Hexestrol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Triclosan	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Mifepristone	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Lovastatin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Colchicine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Phenobarbital	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Leflunomide	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
3'-Azido-3'-deoxythymidine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
all-trans-Retinoic acid	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Loratadine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
o-(Chloroacetylcarbamoyl)fumagillol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Forskolin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Bexarotene	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Carboxin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Levothyroxine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Cladribine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Fumagillin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Clotrimazole	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Lindane	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Permethrin	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Danazol	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
2-Ethylhexyl 4-(dimethylamino)benzoate	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Pyrimethamine	715	Activation, Constitutive androstane receptor	MolecularInitiatingEvent	directMIE
Phenobarbital	716	Increase, cell proliferation (hepatocytes)	KeyEvent	directKE
Phenobarbital	1214	Altered gene expression specific to CAR activation, Hepatocytes	KeyEvent	directKE
Trilostane	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Levothyroxine	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Ketoconazole	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Zenarestat	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Pimozide	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Theophylline	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Decanoic acid	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Lovastatin	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Troglitazone	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Amoxapine	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Betamethasone	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Haloperidol	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Astemizole	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Fluvastatin	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Simvastatin	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Clotrimazole	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Reserpine	804	Inhibition, HMG-CoA reductase	MolecularInitiatingEvent	directMIE
Haloperidol	849	Inhibition, Antgonism of NE receptor	MolecularInitiatingEvent	directMIE
Ciprofloxacin	1539	Endocytotic lysosomal uptake	MolecularInitiatingEvent	directMIE
Norfloxacin	1539	Endocytotic lysosomal uptake	MolecularInitiatingEvent	directMIE
Artesunate	1539	Endocytotic lysosomal uptake	MolecularInitiatingEvent	directMIE
Betamethasone	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Emodin	18	Activation, AhR	MolecularInitiatingEvent	directMIE
4-Dimethylaminoantipyrine	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Propylthiouracil	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Leflunomide	18	Activation, AhR	MolecularInitiatingEvent	directMIE
p-Synephrine	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Menadione	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Clotrimazole	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Hydroxyurea	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Dimethyl sulfoxide	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Anthralin	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Lansoprazole	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Thiabendazole	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Zileuton	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Levothyroxine	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Busulfan	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Methyl glyoxal	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Nisoldipine	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Acetohexamide	18	Activation, AhR	MolecularInitiatingEvent	directMIE
1-Phenyl-3-methyl-5-pyrazolone	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Niacinamide	18	Activation, AhR	MolecularInitiatingEvent	directMIE
5,6-Benzoflavone	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Oxytetracycline	18	Activation, AhR	MolecularInitiatingEvent	directMIE
myo-Inositol	18	Activation, AhR	MolecularInitiatingEvent	directMIE
3,5,3'-Triiodothyronine	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Kaempferol	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Flavone	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Clove leaf oil	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Ketoconazole	18	Activation, AhR	MolecularInitiatingEvent	directMIE
l-Tryptophan	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Propyl gallate	18	Activation, AhR	MolecularInitiatingEvent	directMIE
2-Hydroxy-4-methoxybenzophenone	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Mifepristone	18	Activation, AhR	MolecularInitiatingEvent	directMIE
d-Tryptophan	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Carboxin	18	Activation, AhR	MolecularInitiatingEvent	directMIE
Meclofenamic acid	957	Binding, Transthyretin in serum	MolecularInitiatingEvent	directMIE
Letrozole	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Forskolin	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
4-Hexylresorcinol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
4-Hydroxytamoxifen	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Gemfibrozil	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Aminoglutethimide	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
6-Thioguanine	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Fulvestrant	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Tamoxifen	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Malathion	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
meso-Hexestrol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Dimethyl sulfoxide	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
all-trans-Retinoic acid	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Retinol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Clotrimazole	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
9-cis Retinoic acid	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Diethylstilbestrol	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
4-Hydroxyandrostenedione	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
4-Androstene-3,17-dione	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Anastrozole	964	Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle b	MolecularInitiatingEvent	directMIE
Tacrolimus	979	Interference, nuclear localization of NFAT	KeyEvent	directKE
Kaempferol	980	Inhibition, Calcineurin Activity	MolecularInitiatingEvent	directMIE
Tacrolimus	981	Reduction, NFAT/AP-1 complex formation	KeyEvent	directKE
Tacrolimus	984	Impairment, T-cell dependent antibody response	AdverseOutcome	directAO
Tacrolimus	1202	Suppression, IL-2 and IL-4 production	KeyEvent	directKE
Propylthiouracil	1009	Inhibition, Deiodinase 1	MolecularInitiatingEvent	directMIE
Propylthiouracil	277	Thyroid hormone synthesis, Decreased	KeyEvent	directKE
Methimazole	277	Thyroid hormone synthesis, Decreased	KeyEvent	directKE
Propylthiouracil	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Methimazole	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Methimazole	281	Thyroxine (T4) in serum, Decreased	KeyEvent	directKE
Propylthiouracil	281	Thyroxine (T4) in serum, Decreased	KeyEvent	directKE
Progesterone	12	Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	directMIE
Anthralin	12	Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	directMIE
meso-Hexestrol	12	Acetylcholinesterase (AchE) Inhibition	MolecularInitiatingEvent	directMIE
Phenobarbital	1020	Increased, induction of UDPGT's in liver	KeyEvent	directKE
Indomethacin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Eugenol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
2-Ethylhexyl 4-(dimethylamino)benzoate	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Deflazacort	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Phenylacetic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Triclosan	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Zileuton	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Levothyroxine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
1,8-Cineol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Acetohexamide	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Clotrimazole	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Clove leaf oil	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Mefenamic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
2-Hydroxy-4-methoxybenzophenone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
all-trans-Retinoic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Troglitazone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Kaempferol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Forskolin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Sulfasalazine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Warfarin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Furosemide	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
9-cis Retinoic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Loratadine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Tolcapone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Candesartan cilexetil	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Ciprofibrate	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Zenarestat	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Oxytetracycline	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Oxazepam	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Malathion	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Decanoic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Gemfibrozil	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Bezafibrate	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Spironolactone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
meso-Hexestrol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Glybenclamide	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
1-Phenyl-3-methyl-5-pyrazolone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
5,6-Benzoflavone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Nisoldipine	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Linolenic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Tiratricol	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Flufenamic acid	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Mifepristone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Aspirin	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Ibuprofen	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Betamethasone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Flavone	1028	Activation of specific nuclear receptors, PPAR-gamma activation	MolecularInitiatingEvent	directMIE
Raloxifene	1045	Decreased, Ovarian E2	KeyEvent	directKE
Tamoxifen	1045	Decreased, Ovarian E2	KeyEvent	directKE
Fulvestrant	1045	Decreased, Ovarian E2	KeyEvent	directKE
Diethylstilbestrol	1064	prepubertal increase, Estrogen receptor (ER) activity	MolecularInitiatingEvent	directMIE
Genistein	1064	prepubertal increase, Estrogen receptor (ER) activity	MolecularInitiatingEvent	directMIE
Haloperidol	1083	Decreased, Dopaminergic activity	KeyEvent	directKE
Reserpine	1083	Decreased, Dopaminergic activity	KeyEvent	directKE
Bleomycin	1458	Pulmonary fibrosis	AdverseOutcome	directAO
Hydroxyurea	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Kaempferol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Anthralin	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Malathion	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Tolazamide	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Busulfan	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Rifampicin	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Tetracycline	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
17beta-Estradiol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Mifepristone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
4-Hexylresorcinol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Dapsone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Aminoglutethimide	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Oxytetracycline	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Tiratricol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Isoniazid	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Clove leaf oil	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Propyl gallate	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Hydroquinone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
meso-Hexestrol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Eugenol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
L-Ascorbic acid	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
3,5,3'-Triiodothyronine	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Folic acid	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Diethylstilbestrol	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Troglitazone	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
Carboxin	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
6-Thioguanine	279	Thyroperoxidase, Inhibition	MolecularInitiatingEvent	directMIE
4-Hexylresorcinol	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Ifosfamide	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Rifampicin	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Resorcinol	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Clofibrate	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Folic acid	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
Ibuprofen	1103	Inhibition, Cyclooxygenase 1 activity	MolecularInitiatingEvent	directMIE
